perm1__real0,perm1__real1,perm1__real2,perm1__real3,perm1__real4
-0.580718,-0.855287,-0.966149,-0.218647,-0.231011
-0.447126,-0.737373,-1.47343,-0.049394,-0.0803549
-0.833339,-0.879411,-1.30655,0.0457369,-0.0585566
-0.852554,-0.854479,-1.40052,0.00804188,-0.0652611
-0.639818,-0.927882,-1.32589,0.0544749,0.025469
-0.738129,-0.875906,-1.14486,0.182791,-0.723087
-0.715086,-0.811543,-0.778827,-0.378229,-0.371543
-0.67389,-0.669175,-0.485278,-0.516003,-0.420401
-0.458593,-0.52065,-0.756887,-0.519792,-0.383066
-0.339381,-0.907463,-0.72752,-0.374392,-0.46783
-0.414744,-0.616218,-0.411911,-0.222853,-0.401687
-0.730694,-0.296337,-0.507437,-0.407475,-0.498586
-0.700578,-0.391645,-0.708203,-0.258202,-0.279339
-0.712092,-0.241242,-0.719487,-0.46031,-0.0893576
-0.988868,-0.059072,-1.10916,-0.612934,-0.329809
-0.751446,-0.21627,-0.553286,-0.514212,-0.217821
-0.640291,-0.258025,-0.665794,-0.779408,-0.237377
-0.649032,0.0415156,-0.642102,-0.716396,-0.0565858
-0.441448,0.000492956,-0.754877,-0.245281,0.00104714
-0.448042,-0.0938437,-0.644554,-0.397908,-0.245725
-0.36656,-0.430185,-1.11352,-0.203182,0.134887
-0.234444,-0.166259,-0.969563,-0.431031,0.125455
0.0555397,-0.620737,-1.3393,-0.359079,-0.0239934
-0.193567,-0.789109,-1.20969,-0.397345,-0.107761
-0.208928,-0.721136,-0.95506,-0.484952,-0.278307
-0.0533261,-1.16041,-1.07853,-0.397313,-0.141049
-0.112135,-1.11421,-1.04049,-0.338708,-0.0881268
-0.157267,-0.936785,-0.990102,-0.268465,-0.293725
-0.400245,-1.15554,-0.942746,-0.0189858,-0.543111
-0.23676,-0.833857,-1.14623,-0.298053,-0.583571
-0.00599409,-0.765478,-1.21897,-0.115172,-0.419644
-0.166704,-0.95439,-1.48333,0.133118,-0.336195
-0.254623,-0.904206,-1.25231,-0.281656,-0.358615
0.0098949,-1.00794,-1.12573,0.0919405,-0.439887
-0.153795,-0.882727,-1.36578,0.333402,-0.65977
-0.345865,-0.876611,-1.25689,0.261751,-0.640762
-0.211921,-0.836105,-1.25422,0.109315,-0.620276
-0.330971,-1.14988,-1.54944,-0.152055,-0.681347
-0.227635,-0.762105,-1.22998,-0.25976,-0.40539
-0.328123,-0.743692,-1.26481,-0.333046,-0.175779
-0.509274,-0.71095,-1.49754,-0.458288,0.0913262
-0.449031,-0.725411,-1.18675,-0.622164,-0.0825449
-0.344503,-0.376665,-1.31258,-0.435124,-0.0081473
-0.00278183,-0.494451,-1.41818,-0.57238,-0.127785
-0.0900811,-0.0977807,-1.35865,-0.527228,-0.114856
-0.205159,-0.371734,-1.71292,-0.51648,-0.035582
-0.439467,-0.259353,-1.42694,-0.607313,0.198041
-0.361433,0.0229658,-1.50758,-0.635181,0.438835
-0.418075,-0.0629261,-1.1746,-0.557264,0.358919
