,efft,ymft,gwrt
1342,0.7484022709105388,0.954670921447193,0.7513439123823589
2448,0.6358691192154483,0.9999999999999999,0.7853244694561758
1498,0.7782854696849478,0.9999999999999999,0.6859114681477692
3901,0.49918427515747565,0.9938936861123077,0.6680201464850481
13,0.8296481949352131,0.9323741913731712,0.9372392434293344
1291,0.7927868946963464,0.9734598415355352,0.9761652440542548
3819,0.8130204199323409,0.928948116765799,0.3777949915844969
367,0.679811566310989,0.9999999999999999,0.9352401823729191
935,0.6131853582498384,0.9999999999999999,0.47563665862556426
3307,0.38471298254830977,0.6250832253461408,0.7492526482398278
3244,0.6241934652198743,0.959677213368502,0.5174330927118347
580,0.773502722467185,0.9999999999999999,0.6061905004527688
4220,0.4163326505665894,0.6108953259283351,0.800606186612892
2466,0.6409045487788493,0.9892347695488034,0.797267304461728
3691,0.6200953836232791,0.8655657365294135,0.9312809162295366
802,0.7084673660576722,0.733874716693259,0.7260744282663361
1653,0.7870034048540299,0.9999999999999999,0.9498285419861345
949,0.6878918689308714,0.9999999999999999,0.8712094451681556
178,0.8451856649941191,0.942589410841176,0.6551778222905817
2045,0.6342007988739012,0.8959134013666835,0.8750465009979236
3960,0.680195444762362,0.9935820699825119,0.8052927245622192
1086,0.7463673430890646,0.9887205177936215,0.9608375353538197
3788,0.7672487422533686,0.9832323277043765,0.9318684586463934
2668,0.6842044813913822,0.9999999999999999,0.2192437794474582
900,0.7762803870329543,0.965572377528901,0.9296546594666235
3492,0.679016067826142,0.9177299360931511,0.9513676177906594
4041,0.5278863180357599,0.9975104766023964,0.638662486605831
1273,0.9389090000135488,0.980805808660885,0.6670675706265721
3346,0.39308473396972177,0.39347581399071274,0.7148645512549876
2631,0.7784836052901395,0.9999999999999999,0.8254641641668004
1175,0.8620758344382872,0.9259222049480554,0.9474842373950347
1115,0.3593453750073612,0.6750252443121539,0.37881384707146437
2269,0.8287315767990787,0.9999999999999999,0.8613403560832251
3151,0.8223894111264044,0.9554371906188218,0.9574947967084868
1401,0.6808929672927574,0.705483592474215,0.7464080643329669
2247,0.7052928867959046,0.91856942654118,0.8555729799598146
1649,0.3363884461617176,0.9999999999999999,0.41074896988508636
43,0.8100255302356881,0.9699605456517629,0.845983029087408
3630,0.6279437715848969,0.9498911046366095,0.885965567479819
1223,0.5811554685903976,0.7222427506679311,0.6152256736512394
3633,0.6641826555728604,0.715828226291206,0.8185434001404774
2980,0.6315928450418876,0.8747166932590448,0.7071854016793193
1640,0.8039436393370228,0.9653237657532169,0.8526466958062009
4092,0.6903438943248331,0.9647686463088813,0.6707438506943832
2712,0.8146627457451158,0.9999999999999999,0.8567735105123275
266,0.774749950728754,0.9735211430692655,0.8588165142994189
434,0.7655294029512257,0.920760956372039,0.8233428795409339
410,0.8955400662738843,0.987613684545713,0.7726176543782532
4056,0.7448863955321777,0.9713330188791695,0.6325860515603146
1622,0.15795757899180574,0.49221555662644023,0.527977249923248
3601,0.5788456274339598,0.9999999999999999,0.7271815415384619
4001,0.6760240813288957,0.6978089810152556,0.5897839985715452
1053,0.5404638253617272,0.7105835395165011,0.6470709309116229
4331,0.7217527603214494,0.8283301632493899,0.8365855698541589
2220,0.1505558679844229,0.9658788851975525,0.30758644193169293
