,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time
1032,0.4818263742865726,0.5230800040052068,0.5273237741903138,0.32676783984501134,0.21333333333333337,0.06308411214953269,0.04902451225612836,0.5792792792792794,0.27222222222222225,0.0,0.3333333333333333,0.4444444444444445
1231,0.9882847702012616,0.6122959847802143,0.04361776797352852,0.2802712302227963,0.5933333333333335,0.23114152202937244,0.6223111555777892,0.7671671671671674,0.8666666666666667,0.0,0.3333333333333333,0.0
2725,0.821768298788425,0.806548513066987,0.34362779504662594,0.9657733290280918,0.5,0.9899866488651534,0.5147573786893447,0.13453453453453457,0.9500000000000001,0.0,0.3333333333333333,0.3333333333333333
3051,0.2165815560228297,0.5814558926604585,0.4317657675724456,0.30029060381013883,0.22000000000000008,0.7675233644859811,0.49574787393696873,0.12722722722722746,0.8638888888888889,0.0,0.3333333333333333,0.3333333333333333
2565,0.8370882146790828,0.8651246620606788,0.5071693572646144,0.20632870519857924,0.45333333333333337,0.41421895861148195,0.6163081540770383,0.4311311311311312,0.5611111111111111,0.0,0.0,0.1111111111111111
1607,0.7803144087313507,0.7060178231701212,0.10919482603028176,0.7562156926057474,0.7666666666666668,0.43574766355140193,0.15207603801900937,0.9487487487487489,0.0,0.0,1.0,0.3333333333333333
1091,0.7009111845399019,0.8880544708120557,0.9453524516193723,0.6696803358088472,0.22666666666666668,0.09429238985313748,0.10355177588794406,0.20170170170170199,0.0,0.0,1.0,0.6666666666666665
526,0.22349053769900873,0.15109642535295884,0.25980146395267223,0.08266063932838233,0.7,0.03554739652870487,0.20110055027513773,0.8610610610610612,0.0,0.0,1.0,0.6666666666666665
884,0.4119355161710223,0.835386001802343,0.6951769778401684,0.859864384888602,0.6366666666666667,0.1638851802403204,0.4512256128064034,0.7440440440440443,0.0,0.0,1.0,0.6666666666666665
205,0.8458996695704415,0.7709021728246721,0.8547077108192118,0.7307071359380046,0.75,0.5121829105473965,0.3586793396698349,0.017817817817817883,0.7472222222222222,0.0,0.6666666666666666,0.8888888888888888
3208,0.5306898968659257,0.614498848503054,0.036899628998295395,0.20729738456570876,0.7966666666666666,0.7074432576769023,0.8579289644822405,0.15745745745745765,0.6777777777777778,0.0,0.0,0.2222222222222222
698,0.17983378391909488,0.7988384900370481,0.7557404993482402,0.558282208588957,0.053333333333333344,0.2237983978638184,0.16208104052026018,0.4790790790790791,0.7388888888888889,0.0,0.0,0.6666666666666665
3198,0.09722639431260638,0.4536897967357565,0.4081018750626692,0.9906360994510816,0.29333333333333345,0.08160881174899859,0.10605302651325665,0.08368368368368384,0.5527777777777778,0.0,0.3333333333333333,1.0
210,0.8879543406428356,0.19395213777911283,0.9966910658778703,0.8892476590248627,0.1166666666666667,0.5118491321762348,0.3561780890445223,0.18338338338338356,0.0,0.0,1.0,0.8888888888888888
