,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,Sw,time,efft,watt,ymft,gwrt,capt
68,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,9.0,0.7618369756919752,1460969.9999999998,0.953198,46867.62904097962,85671300000.00009
69,2100.5,245.132,407.0935,0.0648,0.0345,0.6602,0.7168,49.566,0.4191,10.0,0.7694121005644263,1438369.999999999,0.958321,47914.236253537034,85839499999.99992
70,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,1.0,0.4190490663224896,3589562.0,0.399416,22591.29665402074,77293540000.0
71,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,2.0,0.5237959414423383,3327774.0,0.549361,26676.703405940425,93106860000.0
72,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,3.0,0.6050375176293427,3176634.000000001,0.629156,29210.415804905435,96489700000.00003
73,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,4.0,0.6534908856891447,3029209.999999999,0.669892,31729.856959405268,98528699999.99995
74,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,5.0,0.6841873410252336,2962049.9999999995,0.701376,32924.89998480784,99975300000.0
75,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,6.0,0.7084245160621921,2907370.0,0.722986,33962.378369454156,100770800000.00002
76,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,7.0,0.7233311225616619,2870070.000000002,0.735838,34687.864755911854,101278000000.00002
77,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,8.0,0.7397178430939362,2821769.999999997,0.74902,35643.69172540643,101843099999.99994
78,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,9.0,0.7556516615731762,2801140.0,0.768212,35949.184974688884,102372500000.00006
79,2618.25,217.785,490.6099,0.2895,0.032,0.7422,0.6527,59.565,0.4103,10.0,0.7680008767198692,2773650.0,0.777395,36492.9965929371,102456900000.00002
80,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,1.0,0.39912849076269236,14202630.0,0.344002,7931.228230264395,97086190000.0
81,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,2.0,0.5124011656705668,12988700.000000002,0.481546,9476.82985980121,115679510000.0
82,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,3.0,0.5809217239283839,12456919.999999996,0.542605,10211.28818359595,118811200000.00002
83,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,4.0,0.6195062922156497,12074790.0,0.571091,10802.597809154446,120245099999.99998
84,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,5.0,0.6461952491377535,11872300.000000002,0.593791,11135.71085636313,121485000000.00002
85,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,6.0,0.6712467557809434,11697460.0,0.612357,11457.743817888666,122268100000.0
86,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,7.0,0.6768746140237479,11601150.000000004,0.618543,11572.249302870832,122681899999.99992
87,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,8.0,0.6878639682865966,11489319.999999993,0.629129,11717.516789505404,123130900000.0
88,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,9.0,0.696936203752344,11411230.000000004,0.63585,11866.643648405998,123544100000.00008
89,2557.25,217.031,849.3508,0.1137,0.0202,0.7228,0.6098,59.238,0.5548,10.0,0.7124386856892002,11267600.000000002,0.645559,12159.909829954906,124151000000.00006
90,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,1.0,0.5133330626225914,22522070.0,0.673819,3096.5448557792424,91543960000.0
91,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,2.0,0.6066447522733747,19555310.0,0.838306,4347.560841531022,117483939999.99998
92,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,3.0,0.6602189951573907,17945720.0,0.906532,5144.725316119945,126770500000.00003
93,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,4.0,0.7002439214012491,16690539.999999998,0.941039,5887.119290328534,132047899999.99997
94,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,5.0,0.723632944494273,15991650.000000007,0.958854,6398.126522278811,135575200000.00005
95,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,6.0,0.7379413647866985,15543509.999999998,0.96815,6770.272608953836,138062599999.99997
96,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,7.0,0.7535447650430992,15216899.999999996,0.975052,7099.810079582572,139794999999.99997
97,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,8.0,0.7651397023203698,14895000.00000001,0.979716,7413.259483047994,141386900000.0001
98,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,9.0,0.7718590548853105,14599799.999999987,0.983019,7695.09856299402,143082000000.0
99,2864.25,244.697,874.8253,0.2771,0.0422,0.4782,0.7022,51.927,0.7935,10.0,0.7782193013807868,14376599.999999996,0.985661,7926.818580192814,144337999999.99997
100,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,1.0,0.47309992808155515,7972827.0,0.570574,18685.204131483097,179667400000.0
101,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,2.0,0.5773830678349572,6755133.0,0.745147,24437.150238196642,213040600000.00003
102,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,3.0,0.6477561244872493,6062850.000000001,0.817596,28807.93686137707,220453100000.0
103,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,4.0,0.6873730938857129,5674810.000000001,0.856672,31734.137354378377,224439899999.99997
104,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,5.0,0.7166782000581824,5441959.999999998,0.881779,33883.78451881308,226872999999.99994
105,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,6.0,0.7421053386180956,5264390.000000003,0.901897,35779.70097200246,228916000000.00015
106,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,7.0,0.7568742464040027,5147649.999999999,0.91408,37037.483123366976,230255999999.99985
107,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,8.0,0.7719596796020066,5054020.000000001,0.924944,38239.26300252075,231562000000.00012
108,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,9.0,0.7831990893114318,4960339.999999995,0.932327,39393.67059516084,232612999999.99982
109,3398.0,276.249,628.372,0.1769,0.0242,0.4807,0.724,46.317,0.4927,10.0,0.7947377878504953,4865690.000000001,0.939199,40606.16274361909,233491000000.0
110,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,1.0,0.3709741930628091,29270.76,0.467862,67549.04894850698,2493603000.0
111,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,2.0,0.4375197528102667,32408.190000000006,0.640391,73214.98053424149,3472980000.0
112,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,3.0,0.5042863013263514,33322.649999999994,0.754475,73884.27991171171,3683488000.0000005
113,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,4.0,0.5626584121481031,31327.399999999998,0.795772,85549.80623990504,3790419000.0
114,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,5.0,0.5814698457051208,35736.6,0.821454,75584.41485759696,3815940000.0000014
115,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,6.0,0.6069382282978744,28473.600000000006,0.86643,95895.49617891658,3897889999.9999967
116,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,7.0,0.6323483984395768,36284.70000000001,0.876043,77078.49313898142,3874590000.0000014
117,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,8.0,0.644876461108495,26714.199999999975,0.900636,105878.14720261145,3950220000.0000014
118,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,9.0,0.6544754869615161,32258.19999999999,0.910566,87281.68341692963,3917249999.999999
119,1126.5,104.598,70.8301,0.2941,0.0315,0.884,0.75,34.686,0.4355,10.0,0.6662687768428669,32489.300000000014,0.920797,87505.42486295485,3929069999.9999957
120,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,1.0,0.44487568790615173,4160139.0,0.586832,9728.886462687906,53388300000.0
121,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,2.0,0.5395140207324162,3545325.0,0.769053,13312.756940477953,67278700000.0
122,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,3.0,0.6084044119336708,3200895.999999999,0.846244,15720.357674851046,69990199999.99998
123,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,4.0,0.6449921769520802,2990950.0,0.887584,17456.159414232934,71847700000.00003
